,Model,Dataset,Rhythm,Optimizer,Start LR,Final LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
18,Small,Necker cube,alpha,Adam,1e-05,1.0000000000000004e-08,78,0.9625,0.8806451612903226,0.8741935483870967,372.2,2.17,0.9534335527486212
194,Big,Mona Lisa,beta,SGD,0.01,1e-05,39,0.952016129032258,0.8870967741935484,0.8741935483870967,172.23,2.13,0.9424479629959082
6,Big,Mona Lisa,gamma,SGD,0.01,0.01,9,0.9306451612903226,0.8741935483870967,0.8741935483870967,40.26,2.1,0.9608165806795944
62,Small,Necker cube,theta,RMSprop,1e-05,1.0000000000000002e-07,47,0.9616935483870968,0.9,0.8741935483870967,224.12,2.17,0.9604607721046078
73,Small,Mona Lisa,beta,SGD,1e-05,1e-05,98,0.967741935483871,0.867741935483871,0.8709677419354839,432.69,2.15,0.9758050169009072
95,CNN,Mona Lisa,delta,Adadelta,0.001,0.0001,63,0.967741935483871,0.9064516129032258,0.8709677419354839,300.24,2.17,0.9008183597224692
24,CNN,Necker cube,beta,Adadelta,0.001,0.001,22,0.935483870967742,0.896774193548387,0.8709677419354839,106.78,2.24,0.9004625511474827
42,Small,Necker cube,theta,Adam,1e-05,1.0000000000000002e-06,78,0.9608870967741936,0.8741935483870967,0.8709677419354839,374.09,2.18,0.9697340330901976
207,Small,Mona Lisa,delta,Adamax,1e-05,1.0000000000000004e-08,52,0.9620967741935484,0.8903225806451613,0.867741935483871,238.64,2.1,0.963707525351361
183,Small,Necker cube,alpha,Adamax,1e-05,1e-05,47,0.9657258064516128,0.8774193548387097,0.867741935483871,223.41,2.18,0.947518235189468
29,Small,Mona Lisa,alpha,Adagrad,1e-05,1.0000000000000002e-07,41,0.9612903225806452,0.8612903225806452,0.864516129032258,186.41,2.07,0.9364436932930084
149,Big,Necker cube,beta,NAdam,0.01,0.01,14,0.9245967741935484,0.8806451612903226,0.864516129032258,68.02,2.19,0.889187866927593
46,Small,Necker cube,beta,SGD,1e-05,1e-05,78,0.964516129032258,0.864516129032258,0.864516129032258,360.04,2.17,0.9573474470734744
177,CNN,Necker cube,alpha,Adadelta,0.001,0.001,26,0.9657258064516128,0.867741935483871,0.864516129032258,128.14,2.23,0.8932574275040028
122,Big,Mona Lisa,alpha,Adadelta,0.01,0.01,62,0.966532258064516,0.9161290322580644,0.864516129032258,223.76,1.55,0.9693115104074008
