Model,Accuracy,Precision,Recall,F1-Score,Specificity,Sensitivity,Cohen_Kappa,ROC_AUC,Training_Time,Most_Efficient_Class,signal_fiq,dataset,PreProcesstime
Decision Tree,0.6008583690987125,0.64,0.5289256198347108,0.5791855203619909,0.6785714285714286,0.5289256198347108,0.20606016194628662,0.6037485242030697,13.891905784606934,left hemiparesis,delta,Necker cube,49.60102438926697
KNN,0.5622317596566524,0.6,0.47107438016528924,0.5277777777777777,0.6607142857142857,0.47107438016528924,0.13066061891872127,0.583788370720189,0.6332731246948242,left hemiparesis,delta,Necker cube,49.60102438926697
Naive Bayes,0.4678111587982833,0.4444444444444444,0.09917355371900827,0.16216216216216217,0.8660714285714286,0.09917355371900827,-0.033703041144901746,0.4549512987012987,0.6536519527435303,left hemiparesis,delta,Necker cube,49.60102438926697
Deep Learning (Neural Network),0.6995708154506438,0.7475728155339806,0.6363636363636364,0.6875,0.7678571428571429,0.6363636363636364,0.40181911538179416,0.7427685950413223,304.38031125068665,left hemiparesis,delta,Necker cube,49.60102438926697
Random Forest,0.7381974248927039,0.8061224489795918,0.6528925619834711,0.7214611872146119,0.8303571428571429,0.6528925619834711,0.4795869796052873,0.8161157024793388,3.154282569885254,left hemiparesis,theta,Necker cube,47.40009832382202
SVM (RBF),0.6995708154506438,0.717948717948718,0.6942148760330579,0.7058823529411764,0.7053571428571429,0.6942148760330579,0.39904200442151805,0.7605150531286895,50.603572845458984,right hemiparesis,theta,Necker cube,47.40009832382202
SVM (Linear),0.7124463519313304,0.7109375,0.7520661157024794,0.7309236947791166,0.6696428571428571,0.7520661157024794,0.4226914685107799,0.7399645808736718,21.87154483795166,right hemiparesis,theta,Necker cube,47.40009832382202
Logistic Regression,0.721030042918455,0.7153846153846154,0.768595041322314,0.7410358565737052,0.6696428571428571,0.768595041322314,0.43955149317248265,0.7528040141676505,11.83980417251587,right hemiparesis,theta,Necker cube,47.40009832382202
Decision Tree,0.5665236051502146,0.6,0.49586776859504134,0.5429864253393666,0.6428571428571429,0.49586776859504134,0.13776426189865543,0.5693624557260921,13.544716119766235,left hemiparesis,theta,Necker cube,47.40009832382202
KNN,0.630901287553648,0.6377952755905512,0.6694214876033058,0.6532258064516129,0.5892857142857143,0.6694214876033058,0.25922365988909424,0.6791617473435655,0.596820592880249,right hemiparesis,theta,Necker cube,47.40009832382202
Naive Bayes,0.5493562231759657,0.5506329113924051,0.71900826446281,0.6236559139784947,0.36607142857142855,0.71900826446281,0.08613798513316662,0.5509518890200709,0.6433825492858887,right hemiparesis,theta,Necker cube,47.40009832382202
Deep Learning (Neural Network),0.6909871244635193,0.7247706422018348,0.6528925619834711,0.6869565217391305,0.7321428571428571,0.6528925619834711,0.3835072762016758,0.7607733175914994,260.2303194999695,left hemiparesis,theta,Necker cube,47.40009832382202
Random Forest,0.7639484978540773,0.84375,0.6694214876033058,0.7465437788018433,0.8660714285714286,0.6694214876033058,0.5310841962750192,0.8574380165289256,3.2234232425689697,left hemiparesis,alpha,Necker cube,47.64714217185974
SVM (RBF),0.7467811158798283,0.746031746031746,0.7768595041322314,0.7611336032388664,0.7142857142857143,0.7768595041322314,0.4919620089434199,0.8248966942148761,53.48612093925476,right hemiparesis,alpha,Necker cube,47.64714217185974
SVM (Linear),0.7124463519313304,0.7288135593220338,0.7107438016528925,0.7196652719665272,0.7142857142857143,0.7107438016528925,0.42460653864582953,0.7380829397874853,21.129319667816162,right hemiparesis,alpha,Necker cube,47.64714217185974
Logistic Regression,0.703862660944206,0.7241379310344828,0.6942148760330579,0.7088607594936709,0.7142857142857143,0.6942148760330579,0.40782349257799544,0.755202184179457,9.368932008743286,right hemiparesis,alpha,Necker cube,47.64714217185974
Decision Tree,0.5450643776824035,0.5714285714285714,0.49586776859504134,0.5309734513274337,0.5982142857142857,0.49586776859504134,0.09358485026423946,0.5470410271546635,14.198293447494507,left hemiparesis,alpha,Necker cube,47.64714217185974
KNN,0.6695278969957081,0.6692307692307692,0.71900826446281,0.6932270916334662,0.6160714285714286,0.71900826446281,0.3360840765274026,0.7198568476977567,0.6814823150634766,right hemiparesis,alpha,Necker cube,47.64714217185974
