Model,Dataset,Rhythm,Optimizer,Start LR,Finish LR,Epoch,Train Accuracy,Val Accuracy,Test Accuracy,Train Time,Inference Time,ROC AUC
Big,Necker cube,gamma,Adam,0.01,0.01,21,0.935483870967742,0.864516129032258,0.8451612903225807,107.89,1.7,0.8935465219711795
Big,Necker cube,gamma,Adagrad,0.01,0.01,12,0.9294354838709676,0.8580645161290322,0.8451612903225807,57.7,1.7,0.9289939512542252
Big,Mona Lisa,beta,Adamax,0.01,0.01,15,0.9060483870967742,0.8483870967741935,0.8419354838709677,111.99,2.9,0.9231008717310089
CNN,Necker cube,gamma,Adamax,0.001,0.001,9,0.9512096774193548,0.8225806451612904,0.8419354838709677,58.98,1.92,0.86946272905177
Small,Necker cube,theta,SGD,1e-05,1e-05,126,0.9616935483870968,0.8516129032258064,0.8419354838709677,494.18,1.67,0.9309731364525884
Big,Necker cube,delta,Adagrad,0.01,0.001,58,0.9358870967741936,0.8709677419354839,0.8419354838709677,276.95,1.69,0.9379558797367016
CNN,Mona Lisa,gamma,Adamax,0.001,0.001,7,0.9310483870967742,0.8516129032258064,0.8419354838709677,43.99,2.13,0.8691069204767835
Big,Necker cube,beta,Adam,0.01,0.001,29,0.9423387096774194,0.8741935483870967,0.8419354838709677,147.33,1.68,0.9251912471090552
Big,Necker cube,gamma,SGD,0.01,0.01,15,0.939516129032258,0.8612903225806452,0.8387096774193549,62.88,1.74,0.925480341576232
Big,Mona Lisa,theta,Adagrad,0.01,0.001,47,0.9475806451612904,0.832258064516129,0.8387096774193549,220.23,1.66,0.924346201743462
Big,Mona Lisa,delta,Adagrad,0.01,0.001,64,0.9451612903225808,0.867741935483871,0.8387096774193549,293.11,1.6,0.9323963707525352
Small,Mona Lisa,theta,Adagrad,1e-05,1e-05,27,0.957258064516129,0.8290322580645161,0.8387096774193549,130.89,1.78,0.9223892545810354
Small,Mona Lisa,theta,SGD,1e-05,1e-05,73,0.9532258064516128,0.7935483870967742,0.8387096774193549,313.57,1.79,0.9249243906778152
CNN,Mona Lisa,gamma,SGD,0.001,0.001,34,0.9399193548387096,0.8451612903225807,0.8387096774193549,204.54,1.76,0.8658601672300302
CNN,Mona Lisa,gamma,Adam,0.001,0.001,3,0.8669354838709677,0.8258064516129032,0.8387096774193549,19.08,1.76,0.8660380715175237
Big,Mona Lisa,delta,Adamax,0.01,0.0001,78,0.9435483870967742,0.8741935483870967,0.8387096774193549,370.02,1.62,0.9182529798968156
CNN,Necker cube,gamma,Adadelta,0.001,0.001,40,0.9375,0.8451612903225807,0.8387096774193549,270.41,1.95,0.8669275929549902
CNN,Necker cube,gamma,SGD,0.001,0.001,31,0.8592741935483871,0.7935483870967742,0.8354838709677419,196.29,1.92,0.863680839708237
CNN,Necker cube,gamma,Adagrad,0.001,0.001,13,0.9451612903225808,0.8225806451612904,0.832258064516129,84.38,1.93,0.8593666607365237
CNN,Necker cube,gamma,RMSprop,0.001,0.001,18,0.9362903225806452,0.8387096774193549,0.832258064516129,117.16,1.92,0.8595445650240172
Small,Mona Lisa,delta,Adagrad,1e-05,1.0000000000000002e-06,52,0.9552419354838708,0.8741935483870967,0.832258064516129,249.08,1.78,0.9329300836150152
Big,Mona Lisa,alpha,SGD,0.01,0.001,32,0.9443548387096774,0.8580645161290322,0.832258064516129,204.3,3.09,0.9186532645436756
Big,Necker cube,beta,NAdam,0.01,0.01,18,0.8955645161290322,0.832258064516129,0.832258064516129,96.57,1.75,0.9047544920832592
CNN,Mona Lisa,alpha,Adamax,0.001,0.001,15,0.957258064516129,0.8516129032258064,0.832258064516129,131.43,3.0,0.8599003735990037
CNN,Mona Lisa,gamma,NAdam,0.001,0.001,15,0.9080645161290324,0.8258064516129032,0.832258064516129,96.02,1.77,0.8588329478740437
Small,Necker cube,alpha,Adagrad,1e-05,1e-05,47,0.9629032258064516,0.8548387096774194,0.832258064516129,230.26,1.8,0.9215886852873154
Small,Mona Lisa,alpha,SGD,1e-05,1.0000000000000002e-07,73,0.9512096774193548,0.8290322580645161,0.8290322580645161,472.27,3.34,0.9205657356342288
